Tanggal,Sales
1/1/2016,2075
2/1/2016,2150
3/1/2016,2250
4/1/2016,2250
5/1/2016,2250
6/1/2016,2250
7/1/2016,2250
8/1/2016,2250
9/1/2016,2250
10/1/2016,2250
11/1/2016,2250
12/1/2016,2250
1/1/2017,2800
2/1/2017,3000
3/1/2017,3000
4/1/2017,4400
5/1/2017,4400
6/1/2017,4400
7/1/2017,4400
8/1/2017,4400
9/1/2017,4517
10/1/2017,4545
11/1/2017,4745
12/1/2017,5460
1/1/2018,6875
2/1/2018,7485
3/1/2018,8820
4/1/2018,6150
5/1/2018,11250
6/1/2018,11062
7/1/2018,16675
8/1/2018,21700
9/1/2018,29975
10/1/2018,20325
11/1/2018,24600
12/1/2018,32600
1/1/2019,8325
2/1/2019,7650
3/1/2019,14625
4/1/2019,11925
5/1/2019,16350
6/1/2019,25025
7/1/2019,15650
8/1/2019,16025
9/1/2019,23025
10/1/2019,18612
11/1/2019,19301
12/1/2019,18612
1/1/2020,22350
2/1/2020,20450
3/1/2020,10000
4/1/2020,6624
5/1/2020,14720
6/1/2020,15456
7/1/2020,48846
8/1/2020,43418
9/1/2020,47036
10/1/2020,21591
11/1/2020,17736
12/1/2020,24675
1/1/2021,21120
2/1/2021,21120
3/1/2021,23760
4/1/2021,24751
5/1/2021,23799
6/1/2021,24751
7/1/2021,28350
8/1/2021,27301
9/1/2021,28350
10/1/2021,26232
11/1/2021,26232
12/1/2021,26232
1/1/2022,37594
2/1/2022,36202
3/1/2022,89575
4/1/2022,40568
5/1/2022,39066
6/1/2022,39066
7/1/2022,37518
8/1/2022,38962
9/1/2022,37518
10/1/2022,46667
11/1/2022,44800
12/1/2022,48533
1/1/2023,55922
2/1/2023,53685
3/1/2023,60395
4/1/2023,58415
5/1/2023,56169
6/1/2023,58415
7/1/2023,49680
8/1/2023,53653
9/1/2023,51666
10/1/2023,56579
11/1/2023,56579
12/1/2023,58842
1/1/2024,51809
2/1/2024,51809
3/1/2024,53881
